,userId,symbol,pnl,roe,createTimeStamp,updateTimeStamp,amount,date,timeInTrade
0,D64DDD2177FA081E3F361F70C703A562,SANDUSDT,0.08972628,0.0671,1653719825.397,1653886128.523,3.0,2022-05-30 07:48:48.523,166303.126
0,D64DDD2177FA081E3F361F70C703A562,RUNEUSDT,20586.20864125,0.226,1653841580.102,1653901676.881,59011.0,2022-05-30 12:07:56.881,60096.779
0,D64DDD2177FA081E3F361F70C703A562,AVAXUSDT,43620.72408252,0.5663,1653717535.37,1653916870.202,14599.0,2022-05-30 16:21:10.202,199334.832
0,D64DDD2177FA081E3F361F70C703A562,SOLUSDT,53260.2832148,0.3438,1653717580.407,1653916885.721,17135.0,2022-05-30 16:21:25.721,199305.314
0,D64DDD2177FA081E3F361F70C703A562,RUNEUSDT,4864.72974668,0.0446,1653920415.46,1654004652.229,67051.0,2022-05-31 16:44:12.229,84236.769
0,D64DDD2177FA081E3F361F70C703A562,AAVEUSDT,71316.10041013,0.7637,1653920437.171,1654004672.557,8075.3,2022-05-31 16:44:32.557,84235.386
0,D64DDD2177FA081E3F361F70C703A562,SOLUSDT,-22503.791574,-0.124,1653919927.929,1654004672.566,20227.0,2022-05-31 16:44:32.566,84744.637
0,D64DDD2177FA081E3F361F70C703A562,AVAXUSDT,-27397.58264343,-0.2351,1653919905.976,1654004796.987,22437.0,2022-05-31 16:46:36.987,84891.011
0,D64DDD2177FA081E3F361F70C703A562,WAVESUSDT,0.03340631,0.0701,1654085664.532,1654137585.754,0.1,2022-06-02 05:39:45.754,51921.222
0,D64DDD2177FA081E3F361F70C703A562,SOLUSDT,-4365.57778424,-0.5536,1654089857.532,1654213597.583,964.0,2022-06-03 02:46:37.583,123740.051
0,D64DDD2177FA081E3F361F70C703A562,AAVEUSDT,-31955.25697822,-0.7217,1654089929.86,1654214119.22,3991.3,2022-06-03 02:55:19.220,124189.36
0,D64DDD2177FA081E3F361F70C703A562,AVAXUSDT,-102490.75569216,-0.7137,1654092146.369,1654377656.031,30792.0,2022-06-05 00:20:56.031,285509.662
0,D64DDD2177FA081E3F361F70C703A562,TRXUSDT,-55015.71834834,-0.4806,1654080033.846,1654452080.323,6994881.0,2022-06-05 21:01:20.323,372046.477
0,D64DDD2177FA081E3F361F70C703A562,BLZUSDT,2174.44402396,0.0705,1654665709.849,1654687132.235,413218.0,2022-06-08 14:18:52.235,21422.386
0,D64DDD2177FA081E3F361F70C703A562,DUSKUSDT,-2362.94930235,-0.5052,1655148225.462,1655177400.259,65905.0,2022-06-14 06:30:00.259,29174.797
0,D64DDD2177FA081E3F361F70C703A562,SOLUSDT,-135152.63690955,-0.5334,1655227873.652,1655280729.156,46527.0,2022-06-15 11:12:09.156,52855.504
0,D64DDD2177FA081E3F361F70C703A562,SOLUSDT,108920.93640772,0.3421,1655290953.376,1655422212.261,52876.0,2022-06-17 02:30:12.261,131258.885
0,D64DDD2177FA081E3F361F70C703A562,LINKUSDT,-11988.00749013,-0.0982,1655227941.755,1655422267.636,96809.32,2022-06-17 02:31:07.636,194325.881
0,D64DDD2177FA081E3F361F70C703A562,AVAXUSDT,-1226.6657858,-0.0085,1655227895.516,1655422715.944,45955.0,2022-06-17 02:38:35.944,194820.428
0,D64DDD2177FA081E3F361F70C703A562,BNBUSDT,-57463.79559098,-0.2817,1655318992.21,1655422923.074,4890.31,2022-06-17 02:42:03.074,103930.864
0,D64DDD2177FA081E3F361F70C703A562,SOLUSDT,121233.67046718,0.3643,1655598172.028,1655747844.577,48094.0,2022-06-20 20:57:24.577,149672.549
0,D64DDD2177FA081E3F361F70C703A562,AVAXUSDT,170930.85067296,0.6131,1655598163.017,1655747874.649,81824.0,2022-06-20 20:57:54.649,149711.632
0,D64DDD2177FA081E3F361F70C703A562,SNXUSDT,72718.44113093,0.2431,1655703392.211,1655747964.94,209375.3,2022-06-20 20:59:24.940,44572.729
0,D64DDD2177FA081E3F361F70C703A562,LINKUSDT,56186.15728582,0.5562,1655598203.817,1655747995.656,73290.89,2022-06-20 20:59:55.656,149791.839
0,D64DDD2177FA081E3F361F70C703A562,BNBUSDT,94751.45181151,0.3345,1655598227.643,1655748141.858,6645.52,2022-06-20 21:02:21.858,149914.215
0,D64DDD2177FA081E3F361F70C703A562,LITUSDT,-4530.25295797,-0.4068,1655598684.163,1655750827.675,25135.7,2022-06-20 21:47:07.675,152143.512
0,D64DDD2177FA081E3F361F70C703A562,AAVEUSDT,153.40525228,0.4906,1655707458.132,1655751358.398,52.3,2022-06-20 21:55:58.398,43900.266
0,D64DDD2177FA081E3F361F70C703A562,CRVUSDT,19805.12276645,0.2676,1655707761.497,1655768305.823,317581.1,2022-06-21 02:38:25.823,60544.326
0,DF59C1C6151E3E906E662703FB6B4811,ETHBUSD,-11159.46966804,-0.4487,1653663531.059,1653677235.048,289.875,2022-05-27 21:47:15.048,13703.989
0,DF59C1C6151E3E906E662703FB6B4811,ETHBUSD,-3490.64900126,-0.1388,1653677244.936,1653679807.02,-291.314,2022-05-27 22:30:07.020,2562.084
0,DF59C1C6151E3E906E662703FB6B4811,BTCBUSD,-11962.3497244,-0.2054,1653721772.539,1654946905.603,-40.0,2022-06-11 14:28:25.603,1225133.064
0,DF59C1C6151E3E906E662703FB6B4811,ETHUSDT,-35444.132502,-7.3218,1654963614.021,1655126785.775,200.0,2022-06-13 16:26:25.775,163171.754
0,DF59C1C6151E3E906E662703FB6B4811,BTCBUSD,121427.2527222,5.113,1653721772.539,1655127499.537,-20.0,2022-06-13 16:38:19.537,1405726.998
0,DF59C1C6151E3E906E662703FB6B4811,ETHUSDT,3757.69593199,1.4868,1655128531.474,1655189768.382,103.305,2022-06-14 09:56:08.382,61236.908
0,DF59C1C6151E3E906E662703FB6B4811,BTCUSDT,2485.6,0.219,1655207762.76,1655209794.095,-26.0,2022-06-14 15:29:54.095,2031.335
0,DF59C1C6151E3E906E662703FB6B4811,PEOPLEUSDT,-2002.52570511,-0.1963,1655209266.443,1655209964.868,-5154639.0,2022-06-14 15:32:44.868,698.425
0,DF59C1C6151E3E906E662703FB6B4811,BTCDOMUSDT,5066.09103844,0.2795,1654962604.948,1655212326.468,-55.93,2022-06-14 16:12:06.468,249721.52
0,DF59C1C6151E3E906E662703FB6B4811,BTCBUSD,0.11667888,0.0,1655216956.813,1655216964.967,0.013,2022-06-14 17:29:24.967,8.154
0,DF59C1C6151E3E906E662703FB6B4811,BTCBUSD,-1.69866249,-0.0003,1655216975.329,1655216982.747,-0.353,2022-06-14 17:29:42.747,7.418
0,DF59C1C6151E3E906E662703FB6B4811,BTCBUSD,1.85379502,0.0003,1655216975.329,1655217001.815,-0.21,2022-06-14 17:30:01.815,26.486
0,DF59C1C6151E3E906E662703FB6B4811,BTCBUSD,-36.12780217,-0.0065,1655217011.846,1655217082.459,2.302,2022-06-14 17:31:22.459,70.613
0,DF59C1C6151E3E906E662703FB6B4811,BTCBUSD,18.2050977,0.0033,1655217011.846,1655217100.189,1.444,2022-06-14 17:31:40.189,88.343
0,DF59C1C6151E3E906E662703FB6B4811,BTCBUSD,34.60304048,0.0062,1655217011.846,1655217118.207,0.976,2022-06-14 17:31:58.207,106.361
0,DF59C1C6151E3E906E662703FB6B4811,BTCBUSD,-1.8003933,-0.0003,1655217011.846,1655217150.79,0.706,2022-06-14 17:32:30.790,138.944
0,DF59C1C6151E3E906E662703FB6B4811,BTCBUSD,2.27477108,0.0004,1655217011.846,1655217165.786,0.571,2022-06-14 17:32:45.786,153.94
0,DF59C1C6151E3E906E662703FB6B4811,BTCBUSD,0.1562,0.0,1655217011.846,1655217180.759,0.142,2022-06-14 17:33:00.759,168.913
0,DF59C1C6151E3E906E662703FB6B4811,BTCBUSD,-0.005,-0.0,1655217189.992,1655217198.377,-0.001,2022-06-14 17:33:18.377,8.385
0,DF59C1C6151E3E906E662703FB6B4811,BTCBUSD,-1.56247849,-0.0003,1655217208.249,1655217228.746,0.98,2022-06-14 17:33:48.746,20.497
0,DF59C1C6151E3E906E662703FB6B4811,ETHUSDT,-29089.894624,-4.9404,1655234009.524,1655455660.652,280.0,2022-06-17 11:47:40.652,221651.128
